decade,sexism_density_mean,sexism_density_std,sexism_density_median,racism_density_mean,racism_density_std,racism_density_median,homophobia_density_mean,homophobia_density_std,homophobia_density_median,total_bias_density_mean,total_bias_density_std,total_bias_density_median,num_films
1960,1.5608109494560058,1.1754298311228086,1.2063038242548076,0.3380139923136502,0.3885215372969819,0.2560324167321297,0.2934807718373711,0.17005568119341724,0.26742474905986746,2.192305713607027,1.26217455279723,1.8626905593820715,34
1970,1.459558768686024,0.9254051359608769,1.2390404486772306,0.3495892988732024,0.3853326599499832,0.22761599535618246,0.3227760975709832,0.22939509460301352,0.27838123192690867,2.1319241651302097,1.025792887612061,1.9087781578291845,80
1980,1.729913997470819,1.9338930009342985,1.360458126364413,0.33862545910273484,0.44234747184752743,0.22741055184960582,0.33278543555450607,0.21942668615226246,0.2965347792934,2.4013248921280597,2.004317535185599,2.010327565138555,187
1990,1.5337904071177162,1.264359280211804,1.264905935783043,0.30870658475248774,0.31114739835539224,0.23099135460053322,0.35394031466557274,0.264699832995724,0.30994806492254146,2.1964373065357767,1.377093532554591,1.8870808561517949,378
2000,1.482048808972724,0.9640536606788543,1.2487066966356275,0.28826165882533655,0.3319250901704987,0.19877554265723146,0.31578764692246736,0.19354701439978506,0.2676122298789055,2.086098114720528,1.0604282469555781,1.8734802885956874,521
2010,1.6607670079578982,1.2101931104230843,1.3554615181169003,0.29696500888593413,0.3527383653504375,0.20790741189923423,0.33077023140843875,0.19817217469859433,0.2999850007499625,2.2885022482522714,1.2525669276135192,2.0408996285562675,575
2020,3.0339192866976123,5.66191722789143,1.2096212934724613,0.29687813509636235,0.24111492972510196,0.20207656807943253,0.2816011621766712,0.21547501278490974,0.2289102578654304,3.6123985839706463,5.886481752649201,1.6185753456993548,12
