decade,sexism_score,racism_score,homophobia_score,total_score,num_films
1960,32.205882352941174,7.823529411764706,8.764705882352942,48.794117647058826,34
1970,24.275,8.3125,8.3875,40.975,80
1980,24.802139037433154,8.20855614973262,8.679144385026738,41.68983957219251,187
1990,26.177248677248677,7.791005291005291,9.470899470899472,43.439153439153436,378
2000,24.37619961612284,7.023032629558541,8.00767754318618,39.406909788867566,521
2010,24.0,6.871304347826087,8.321739130434782,39.19304347826087,575
2020,18.583333333333332,6.166666666666667,6.916666666666667,31.666666666666668,12
